,ticker,ds,yhat,yhat_lower,yhat_upper,date_run
252,WMT,2018-11-17,102.10227592695372,99.70063052814734,104.58846349061062,2018-11-17
253,WMT,2018-11-18,102.19847717852323,99.78032965821022,104.55166397040841,2018-11-17
254,WMT,2018-11-19,101.46091525510795,99.1610854900385,103.90234545030172,2018-11-17
255,WMT,2018-11-20,101.63238626072109,99.24741635524188,103.95562830183664,2018-11-17
256,WMT,2018-11-21,101.61987939065196,99.30878562572879,103.91841348686259,2018-11-17
257,WMT,2018-11-22,101.72906474210676,99.30423331081478,104.08755163036733,2018-11-17
258,WMT,2018-11-23,101.88260406130267,99.51177971269355,104.1698789742616,2018-11-17
259,WMT,2018-11-24,102.77568517605671,100.42192341023228,105.06369537763932,2018-11-17
260,WMT,2018-11-25,102.87188642762578,100.36210921082476,105.21949591663457,2018-11-17
261,WMT,2018-11-26,102.13432450421081,99.55972368718442,104.35250107436258,2018-11-17
252,BRK.A,2018-11-17,313529.94186245307,305120.95079845266,322152.33206813567,2018-11-17
253,BRK.A,2018-11-18,313498.86899013806,304703.57466808707,323183.95904977253,2018-11-17
254,BRK.A,2018-11-19,318306.4234192026,309625.91852894914,327366.08602642745,2018-11-17
255,BRK.A,2018-11-20,318482.61352823046,310734.41469349276,327632.83573523344,2018-11-17
256,BRK.A,2018-11-21,318741.2441716199,310177.9255878059,326982.1333677548,2018-11-17
257,BRK.A,2018-11-22,318440.4560181051,309231.1098383246,326794.98552658607,2018-11-17
258,BRK.A,2018-11-23,317998.5415715257,309947.2307378099,326792.2737185366,2018-11-17
259,BRK.A,2018-11-24,313312.43177168333,304036.6815605246,321782.6170981278,2018-11-17
260,BRK.A,2018-11-25,313281.3588993712,304381.81694680534,322358.86848640314,2018-11-17
261,BRK.A,2018-11-26,318088.91332843434,309234.50051640044,326996.3027568018,2018-11-17
252,AAPL,2018-11-17,206.1421496213159,198.41114653496925,213.31605937090814,2018-11-17
253,AAPL,2018-11-18,205.9297110267838,198.57287159228,213.70671580067142,2018-11-17
254,AAPL,2018-11-19,206.33780414000088,199.42902143444985,213.8343026405858,2018-11-17
255,AAPL,2018-11-20,206.94686121766102,199.47189477497784,214.03024474350454,2018-11-17
256,AAPL,2018-11-21,206.7547805603659,198.96591477047065,214.35377250328384,2018-11-17
257,AAPL,2018-11-22,206.8178271836908,199.2382969271918,214.2797924330313,2018-11-17
258,AAPL,2018-11-23,206.21764344908254,198.12650128686482,214.10199709525267,2018-11-17
259,AAPL,2018-11-24,204.65507905542512,197.49859804724986,212.09891753126553,2018-11-17
260,AAPL,2018-11-25,204.4426404608942,196.16988607238878,211.65298436900406,2018-11-17
261,AAPL,2018-11-26,204.8507335741114,197.47235757515156,212.93487422833456,2018-11-17
252,XOM,2018-11-17,79.93505415402034,77.30781080456887,82.59860439594583,2018-11-17
