date,holiday,to_timestamp
1/2/17,New Year Day,2017-01-02
1/16/17,Martin Luther King Jr. Day,2017-01-16
2/20/17,Presidents Day (Washingtons Birthday),2017-02-20
4/14/17,Good Friday,2017-04-14
5/29/17,Memorial Day,2017-05-29
7/4/17,Independence Day,2017-07-04
9/4/17,Labor Day,2017-09-04
11/23/17,Thanksgiving Day,2017-11-23
12/25/17,Christmas Day,2017-12-25
1/1/18,New Year Day,2018-01-01
1/15/18,Martin Luther King Jr. Day,2018-01-15
2/19/18,Presidents Day (Washingtons Birthday),2018-02-19
3/30/18,Good Friday,2018-03-30
5/28/18,Memorial Day,2018-05-28
7/4/18,Independence Day,2018-07-04
9/3/18,Labor Day,2018-09-03
11/22/18,Thanksgiving Day,2018-11-22
12/25/18,Christmas Day,2018-12-25
1/1/19,New Year Day,2019-01-01
1/21/19,Martin Luther King Jr. Day,2019-01-21
2/18/19,Presidents Day (Washingtons Birthday),2019-02-18
4/19/19,Good Friday,2019-04-19
5/27/19,Memorial Day,2019-05-27
7/4/19,Independence Day,2019-07-04
9/2/19,Labor Day,2019-09-02
11/28/19,Thanksgiving Day,2019-11-28
12/25/19,Christmas Day,2019-12-25
1/1/20,New Year Day,2020-01-01
1/20/20,Martin Luther King Jr. Day,2020-01-20
2/17/20,Presidents Day (Washingtons Birthday),2020-02-17
4/10/20,Good Friday,2020-04-10
5/25/20,Memorial Day,2020-05-25
7/3/20,Independence Day,2020-07-03
9/7/20,Labor Day,2020-09-07
11/26/20,Thanksgiving Day,2020-11-26
12/25/20,Christmas Day,2020-12-25
