change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap,Year,Month,Week,Day,Dayofweek,Dayofyear,Is_month_end,Is_month_start,Is_quarter_end,Is_quarter_start,Is_year_end,Is_year_start,Elapsed,rpt_earnings,up_or_down,up_yesterday,up_last3,up_last10,low_to_open,low_to_close,hi_to_open,hi_to_close,hi_to_low
-0.79,0.0,-0.801,97.85,2018-08-17,99.67,"Aug 17, 18",97.61,97.77,16463337,16463337,98.4281,2018,8,33,17,4,229,False,False,False,False,False,False,1534464000,0,1,0,0.0,0.0,0.9983635061879923,0.997547266223812,1.0194333640175923,1.0185998978027595,1.0211043950414918
-1.85,-0.018906489524782775,-1.891,96.0,2018-08-20,98.29,"Aug 20, 18",95.95,97.67,12679293,12679293,96.949,2018,8,34,20,0,232,False,False,False,False,False,False,1534723200,0,0,1,0.0,0.0,0.9823896795331217,0.9994791666666667,1.006347906214805,1.0238541666666667,1.0243877019280876
0.08,-0.018088911599386776,0.083,96.08,2018-08-21,96.36,"Aug 21, 18",95.36,95.96,10531269,10531269,95.9341,2018,8,34,21,1,233,False,False,False,False,False,False,1534809600,0,1,0,0.0,0.0,0.9937473947478116,0.9925062447960034,1.004168403501459,1.0029142381348877,1.0104865771812082
-0.41,-0.022278998467041317,-0.427,95.67,2018-08-22,96.85,"Aug 22, 18",95.23,96.2,7765671,7765671,95.9956,2018,8,34,22,2,234,False,False,False,False,False,False,1534896000,0,0,1,0.6666666666666666,0.0,0.9899168399168399,0.9954008571129926,1.0067567567567566,1.0123340650151562,1.0170114459729076
-0.49,-0.02728666326009185,-0.512,95.18,2018-08-23,95.86,"Aug 23, 18",95.06,95.5,6096381,6096381,95.3366,2018,8,34,23,3,235,False,False,False,False,False,False,1534982400,0,0,0,0.3333333333333333,0.0,0.9953926701570681,0.9987392309308678,1.0037696335078534,1.0071443580584156,1.0084157374289922
-0.23,-0.02963719979560543,-0.242,94.95,2018-08-24,95.66,"Aug 24, 18",94.35,95.09,8594514,8594514,94.9979,2018,8,34,24,4,236,False,False,False,False,False,False,1535068800,0,0,0,0.3333333333333333,0.0,0.9922178988326847,0.9936808846761452,1.0059943211694184,1.0074776197998947,1.013884472708002
-0.41,-0.03382728666325997,-0.432,94.54,2018-08-27,95.609,"Aug 27, 18",94.285,95.26,7040258,7040258,94.7534,2018,8,35,27,0,239,False,False,False,False,False,False,1535328000,0,0,0,0.0,0.0,0.9897648540835607,0.9973027290035963,1.0036636573588074,1.0113073831182566,1.014042530625232
1.53,-0.01819110884006133,1.618,96.07,2018-08-28,96.35,"Aug 28, 18",94.53,94.77,9983002,9983002,95.7487,2018,8,35,28,1,240,False,False,False,False,False,False,1535414400,0,1,0,0.0,0.0,0.9974675530231086,0.9839700218590611,1.0166719425978685,1.0029145414801708,1.0192531471490531
-0.43,-0.022585590189064832,-0.448,95.64,2018-08-29,96.83,"Aug 29, 18",95.53,96.28,7862835,7862835,95.8729,2018,8,35,29,2,241,False,False,False,False,False,False,1535500800,0,0,1,0.3333333333333333,0.0,0.9922102201911093,0.9988498536177332,1.0057125051931866,1.0124424926808866,1.0136082905893435
0.46,-0.017884517118037815,0.481,96.1,2018-08-30,96.495,"Aug 30, 18",95.45,95.5,7058718,7058718,96.0394,2018,8,35,30,3,242,False,False,False,False,False,False,1535587200,0,1,0,0.3333333333333333,0.0,0.999476439790576,0.9932362122788763,1.0104188481675394,1.0041103017689907,1.0109481403876375
-0.24,-0.020337250894225806,-0.25,95.86,2018-08-31,96.44,"Aug 31, 18",95.11,96.19,6324813,6324813,95.7139,2018,8,35,31,4,243,True,False,False,False,False,False,1535673600,0,0,1,0.6666666666666666,0.4,0.9887722216446616,0.9921760901314417,1.0025990227674395,1.0060504902983518,1.0139838082220587
-0.5,-0.025447112927950894,-0.522,95.36,2018-09-04,96.27,"Sep 4, 18",95.24,95.8,8280741,8280741,95.7356,2018,9,36,4,1,247,False,False,False,False,False,False,1536019200,0,0,0,0.3333333333333333,0.3,0.9941544885177452,0.998741610738255,1.0049060542797494,1.0095427852348993,1.010814783704326
1.26,-0.012570260602963616,1.321,96.62,2018-09-05,96.83,"Sep 5, 18",95.36,95.67,9474608,9474608,96.304,2018,9,36,5,2,248,False,False,False,False,False,False,1536105600,0,1,0,0.3333333333333333,0.3,0.9967596947841538,0.9869592216932311,1.0121250130657469,1.002173463051128,1.0154152684563758
